nomor_pendaftaran,kode_mata_pelajaran,nilai_tka
426816790,401000000,29.53
426650046,401241000,55.25
426152631,300110000,77.84
426564049,401000000,37.78
426715684,401000000,24.09
426262637,401000000,26.07
426138229,300110000,48.98
426065148,401000000,37.98
426150533,401121000,34.19
426611740,401002000,47.95
426002004,401002000,38.79
426483951,300110000,67.33
426259516,401121000,45.84
426469026,401121000,5.00
426465670,300210000,5.00
426341810,300210000,22.83
426281763,401110200,54.25
426330042,401000000,42.47
426309077,401230000,90.06
426181282,401000000,31.07
426252897,300110000,65.33
426464811,300210000,21.95
426263105,300210000,51.42
426436325,401000000,32.75
426286201,300110000,54.30
426135008,300130000,68.31
426793384,300210000,18.56
426331154,300110000,72.35
426719974,300110000,43.10
426628897,401250100,52.08
426128050,401000000,36.29
426470230,300110000,42.25
426348605,300210000,44.81
426470673,300110000,5.00
426458207,401000000,28.59
426132450,300110000,50.38
426018885,401000000,19.01
426400596,401230000,54.39
426336403,401121000,35.85
426773307,300110000,54.38
426564355,401002000,42.08
426460180,401250100,64.84
426058054,401110200,63.33
426476174,401000000,28.64
426242312,401000000,12.71
426253647,401000000,26.09
426550933,300210000,21.84
426115157,300210000,5.00
426255285,401110200,48.59
426715684,300210000,21.09
426147005,300210000,20.71
426551305,401250100,25.54
426623667,401000000,55.70
426466541,300210000,23.53
426140372,401000000,33.79
426511727,300110000,60.80
426569217,300210000,30.18
426245406,300210000,37.73
426143747,401000000,35.74
426570769,300110000,51.86
426224945,401000000,35.91
426564355,401000000,19.54
426023770,401110200,74.42
426389029,401130100,32.38
426379295,300110000,42.46
426520898,401230000,80.14
426347281,300210000,23.51
426596701,300210000,5.00
426663533,300110000,55.79
426217402,600070100,50.97
426784069,401000000,30.89
426254015,401250100,32.87
426275446,401000000,41.24
426350838,401250100,38.82
426770817,401240000,51.58
426144688,300110000,61.29
426514663,300110000,59.28
426389319,600070100,48.64
426136340,401002000,30.65
426285468,401000000,37.40
426350084,300210000,35.21
426064543,300110000,62.55
426734981,300210000,22.09
426373993,300210000,20.73
426016354,300210000,29.19
426560362,401000000,27.07
426047588,401250100,28.91
426589587,401121000,33.67
426617235,401002000,29.55
426003552,401130100,43.74
426148270,401250100,30.93
426348464,300210000,18.81
426349620,401121000,32.49
426466102,300110000,66.51
426145329,300210000,26.64
426726678,300210000,18.39
426465753,401241000,47.00
426749173,300110000,55.47
426134885,300110000,52.73
426265825,401121000,18.72
426686886,401000000,46.89
426257642,401110200,50.45
426460728,600070100,80.20
426339619,401241000,59.76
426344673,401240000,62.35
426354498,300110000,38.76
426558047,401110200,47.24
426690727,401002000,37.57
426819503,401220000,64.65
426750680,401000000,39.90
426340993,300110000,32.45
426382669,300210000,47.50
426520641,401002000,38.97
426652410,300210000,16.26
426627004,401000000,38.41
426107522,300130000,68.68
426416832,300110000,46.18
426124052,300210000,5.00
426596701,401130000,49.57
426145329,600070100,60.86
426569217,401000000,34.37
426145843,300210000,21.27
426395223,300110000,52.56
426137302,300130000,81.79
426344949,300210000,25.13
426822375,300130000,62.82
426037663,600070100,53.88
426487101,401000000,39.39
426706025,401000000,37.03
426760920,401000000,17.72
426242312,300110000,42.28
426669482,401130000,60.08
426241598,300130000,74.42
426475618,401110200,57.58
426395569,401000000,57.09
426348124,401000000,38.01
426279230,401000000,28.59
426195829,401130000,30.40
426147715,401000000,36.13
426472532,401110200,73.57
426794227,401002000,22.25
426331061,401000000,39.47
426161024,300210000,24.24
426315559,401110200,47.58
426716248,401241000,54.25
426644158,401000000,46.10
426324056,300210000,24.83
426514663,401000000,50.79
426753398,200010300,79.43
426117970,300210000,24.69
426245788,401000000,16.27
426023018,300210000,20.75
426522479,600070100,68.07
426353492,401250100,28.33
426134211,200010000,58.24
426140638,600070100,54.35
426564653,401121000,53.21
426578399,300110000,53.49
426663125,300210000,14.71
426407262,401130100,31.03
426390262,401002000,39.87
426264635,300110000,54.44
426510308,401000000,47.40
426447837,300210000,5.00
426306002,300210000,20.66
426129299,300210000,5.00
426530718,401110200,42.69
426340213,401000000,33.75
426174546,300110000,48.17
426712859,300210000,21.03
426650432,401000000,33.60
426146957,300110000,65.38
426718803,300230000,53.68
426333054,401130100,60.05
426064543,300210000,16.96
426292698,600070100,58.13
426571750,401110200,52.84
426642320,401000000,27.20
426638966,401110200,54.56
426019729,401002000,38.43
426259557,300110000,59.13
426142253,300210000,21.41
426234473,300210000,5.00
426623453,401130100,43.99
426527555,401000000,25.31
426341595,401110200,71.42
426617235,401000000,32.62
426664200,300130000,76.73
426208577,300210000,18.57
426107654,300210000,29.38
426537937,300230000,45.05
426457824,401130100,61.30
426760920,300210000,5.00
426159077,401110200,78.53
426395223,600070100,68.54
426537937,300110000,68.67
426104913,600070100,49.81
426341563,401000000,55.64
426347102,401000000,29.61
426137705,600070100,48.81
426011384,401130100,29.56
426514927,300110000,40.97
426398873,401240000,53.06
426697595,200010300,70.95
426395176,300110000,38.29
426003441,401220000,76.00
426073805,300210000,16.49
426339140,300210000,23.88
426004749,401000000,44.84
426136338,401250100,28.24
426459795,300130000,61.64
426025539,300210000,40.66
426255189,300110000,58.86
426713108,401000000,18.25
426714387,300210000,33.07
426711774,300210000,26.46
426340993,401000000,47.77
426726678,401000000,22.38
426257890,300210000,29.98
426757889,401110200,53.58
426245406,401000000,57.23
426172482,401110200,80.32
426231351,300130000,67.49
426334342,401000000,40.61
426279770,300130000,73.10
426405625,401250100,44.50
426008617,401250100,40.76
426569687,401000000,33.94
426694386,401241000,64.64
426148726,401130100,36.74
426467417,401000000,36.10
426464821,401000000,19.52
426178747,401250100,17.90
426134804,401130000,29.82
426520723,300110000,44.90
426008617,300210000,49.24
426379295,401130000,41.55
426145921,300110000,49.88
426379524,300130000,51.95
426516414,300110000,39.08
426804306,401000000,20.82
426721558,300110000,40.96
426134579,300210000,5.00
426153631,300110000,55.89
426628897,300210000,36.80
426147847,401110200,48.63
426694683,401130100,31.63
426638966,401000000,53.76
426180246,300230000,58.66
426143070,401130100,27.62
426233243,300210000,26.51
426740515,300210000,24.03
426160935,300110000,72.80
426570769,300210000,21.91
426332563,401110200,84.52
426537462,401110200,40.42
426379524,600070100,33.14
426062287,401000000,27.55
426157070,300110000,55.30
426409166,600070100,54.34
426449003,300210000,36.61
426132659,300210000,5.00
426227905,401000000,36.45
426246108,401002000,62.72
426680978,401000000,34.11
426194756,300110000,76.85
426404566,300210000,23.53
426117970,200010300,60.84
426725026,300110000,40.14
426804045,401000000,48.75
426684812,300210000,22.24
426348124,401002000,28.14
426218958,401241000,51.71
426394852,300110000,43.57
426149325,401000000,39.72
426257890,300110000,42.23
426267110,300210000,5.00
426340696,401241000,70.57
426187875,401002000,59.47
426197776,401000000,31.01
426363390,401000000,26.53
426255025,300310100,45.87
426741028,401000000,5.00
426353492,300110000,64.90
426511919,300110000,38.44
426369583,401000000,21.50
426571741,401220000,62.66
426688774,401000000,21.54
426290429,300110000,48.88
426512124,401000000,38.32
426060723,401240000,40.55
426133473,300130000,80.46
426163086,401250100,37.64
426591033,401110200,34.50
426011307,600070100,46.14
426424335,200010300,69.68
426147189,401250100,27.62
426243160,300110000,56.86
426243330,300210000,5.00
426784345,401250100,22.17
426286201,401110200,55.60
426143411,401121000,39.80
426719974,401000000,46.16
426245406,401250100,59.20
426518235,300110000,46.23
426178761,300110000,52.43
426511211,401110200,87.18
426390208,401220000,63.94
426234399,401002000,41.29
426475618,300210000,5.00
426521635,401000000,40.24
426160935,300210000,16.91
426828192,401230000,65.32
426341583,300110000,44.48
426407262,401000000,36.38
426399135,401000000,43.90
426395523,401240000,57.54
426010393,401130100,57.25
426404937,401240000,81.51
426373993,401000000,27.88
426619478,300210000,15.99
426688774,300110000,49.63
426304493,401000000,42.37
426237239,401000000,33.05
426505457,401002000,28.10
426305160,401241000,68.99
426819503,401000000,23.25
426560055,300210000,15.78
426690477,401002000,48.20
426011384,401000000,27.23
426004245,401220000,37.32
426292890,300210000,24.88
426403401,300110000,67.75
426180246,300210000,39.38
426390843,401130100,39.27
426149616,300210000,23.74
426609505,401230000,42.07
426617445,300130000,83.56
426256521,401000000,46.87
426669540,300110000,69.96
426758630,401250100,26.75
426467284,300130000,80.30
426030783,401000000,59.18
426303377,401000000,45.78
426342452,401000000,60.66
426343267,401000000,27.10
426620219,300110000,43.44
426247446,401110200,48.16
426260602,401110200,51.75
426140372,300210000,29.24
426718695,401240000,46.44
426217150,401002000,50.27
426839642,401250100,27.10
426516427,300210000,48.58
