kode_mata_pelajaran,nama_mata_pelajaran
999800703,Biologi
999800704,Ekonomi
999800706,Geografi
999800708,Kimia
999800709,Matematika
999800711,Pendidikan Agama
999800713,Pendidikan Kewarganegaraan
999800715,Sejarah
999800716,Seni Budaya
999800717,Sosiologi
AKA,Aqidah Akhlak
AQH,Al-Qur'an Hadits
ARZ,Bahasa Arab (Peminatan)
DPK,Dasar-dasar Program Keahlian
FKH,Fikih
IPAK,"Ilmu Pengetahuan Alam: Fisika, Kimia, Biologi"
IPSK,"Ilmu Pengetahuan Sosial: Sosiologi, Ekonomi, Sejarah, Geografi"
KBA,Keterampilan/Bahasa Asing
MPKK,Mata Pelajaran Konsentrasi Keahlian
MPL01,Mata Pelajaran Pilihan 1
MPL02,Mata Pelajaran Pilihan 2
MPL03,Mata Pelajaran Pilihan 3
MPL05,Mata Pelajaran Pilihan 5
PKL,Praktek Kerja Lapangan
SEJ,Sejarah (Peminatan)
SPR,Seni dan Prakarya
TAF,Tafsir dan Ilmu Tafsir
