npsn,nama_sekolah,jenis_sekolah,kode_kabupaten,nama_kabupaten,kode_provinsi,nama_provinsi,akreditasi_sekolah,tanggal_mulai_akreditasi,tanggal_kadaluarsa,nilai_akreditasi,kepemilikan,sumber_data_nilai
69874007,SMA NEGERI 2 MEUKEK,SMA,060700,Kab. Aceh Selatan,060000,Prov. Aceh,B,30-11-2022,18-11-2027,86,Pemerintah Daerah,Isi Manual
69874008,SMA NEGERI 1 KOTA BAHAGIA,SMA,060700,Kab. Aceh Selatan,060000,Prov. Aceh,B,30-11-2022,18-11-2027,87,Pemerintah Daerah,Isi Manual
69874009,SMA NEGERI 1 TRUMON TENGAH,SMA,060700,Kab. Aceh Selatan,060000,Prov. Aceh,B,30-11-2022,18-11-2027,84,Pemerintah Daerah,Isi Manual
69874028,SMK NEGERI 6 TANJUNGBALAI,SMK,076400,Kota Tanjung Balai,070000,Prov. Sumatera Utara,A,01-08-2023,01-08-2028,92,Pemerintah Daerah,Isi Manual
69875551,SMA UNGGUL DARUSSAADAH KLUET RAYA,SMA,060700,Kab. Aceh Selatan,060000,Prov. Aceh,B,26-09-2023,26-09-2028,86,Pemerintah Daerah,Isi Manual
69883598,SMK NEGERI 1 RUNDENG,SMK,066400,Kota Subulussalam,060000,Prov. Aceh,C,12-12-2023,01-01-1900,76,Pemerintah Pusat,Isi Manual
69899799,SMK DHARMA SHALIHAT 2 UJONG PATIHAH,SMK,061500,Kab. Nagan Raya,060000,Prov. Aceh,C,12-12-2023,01-01-1900,77,Yayasan,Isi Manual
69934208,SMA SWASTA TERPADU BUSTANUL ARIFIN,SMA,061800,Kab. Gayo Lues,060000,Prov. Aceh,B,20-10-2022,20-10-2027,87,Yayasan,Isi Manual
69934939,SMA SWASTA AL-ANSHAR,SMA,061600,Kab. Aceh Jaya,060000,Prov. Aceh,B,23-10-2023,23-10-2028,83,Yayasan,Isi Manual
69943068,SMA SWASTA AL HIKMAH,SMA,076000,Kota Medan,070000,Prov. Sumatera Utara,A,31-10-2023,31-10-2028,92,Yayasan,Isi Manual
69946304,SMK NEGERI 1 INDRA MAKMU,SMK,060400,Kab. Aceh Timur,060000,Prov. Aceh,B,23-10-2023,23-10-2028,85,Pemerintah Daerah,Isi Manual
69946581,SMA NEGERI KEULUANG,SMA,061600,Kab. Aceh Jaya,060000,Prov. Aceh,B,22-07-2024,31-12-2029,0,Pemerintah Daerah,Isi Manual
69946702,SMA Negeri 2 Kluet Timur,SMA,060700,Kab. Aceh Selatan,060000,Prov. Aceh,C,22-07-2024,31-12-2029,0,Pemerintah Pusat,Isi Manual
69947031,SMK Swasta Muhammadiyah Singkil,SMK,061300,Kab. Aceh Singkil,060000,Prov. Aceh,B,23-10-2023,23-10-2028,82,Yayasan,Isi Manual
